"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"23 Feb 2017","FUTCOM","NATURALGAS   ","23FEB2017","-","0.00","175.70","180.80","173.50","174.90","174.90","53493","66866.250 mmBtu","118686.88","1841"
"22 Feb 2017","FUTCOM","NATURALGAS   ","23FEB2017","-","0.00","172.00","176.90","169.00","174.90","172.50","60172","75215.000 mmBtu","129804.53","7942"
"21 Feb 2017","FUTCOM","NATURALGAS   ","23FEB2017","-","0.00","186.20","186.50","171.60","172.50","185.40","63987","79983.750 mmBtu","143335.07","11607"
"20 Feb 2017","FUTCOM","NATURALGAS   ","23FEB2017","-","0.00","190.00","190.00","184.20","185.40","191.20","27968","34960.000 mmBtu","64786.09","10433"
"17 Feb 2017","FUTCOM","NATURALGAS   ","23FEB2017","-","0.00","192.10","194.70","190.60","191.20","192.80","33419","41773.750 mmBtu","80387.73","10515"
"16 Feb 2017","FUTCOM","NATURALGAS   ","23FEB2017","-","0.00","197.80","197.80","191.40","192.80","196.60","48190","60237.500 mmBtu","117164.88","10592"
"15 Feb 2017","FUTCOM","NATURALGAS   ","23FEB2017","-","0.00","196.40","200.70","195.50","196.60","194.60","47203","59003.750 mmBtu","116927.63","9735"
"14 Feb 2017","FUTCOM","NATURALGAS   ","23FEB2017","-","0.00","197.70","198.00","194.20","194.60","198.60","46093","57616.250 mmBtu","112800.99","11258"
"13 Feb 2017","FUTCOM","NATURALGAS   ","23FEB2017","-","0.00","202.50","202.50","198.20","198.60","204.10","36652","45815.000 mmBtu","91414.02","10014"
"10 Feb 2017","FUTCOM","NATURALGAS   ","23FEB2017","-","0.00","207.50","207.50","201.50","204.10","209.20","52134","65167.500 mmBtu","132930.95","9193"
"09 Feb 2017","FUTCOM","NATURALGAS   ","23FEB2017","-","0.00","212.50","213.40","208.00","209.20","211.80","53492","66865.000 mmBtu","141116.49","7556"
"08 Feb 2017","FUTCOM","NATURALGAS   ","23FEB2017","-","0.00","212.60","212.60","206.30","211.80","211.80","56983","71228.750 mmBtu","149179.52","7092"
