"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"05 Apr 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","31500.00","31500.00","30450.00","30673.00","30886.00","57","5.700 GRMS ","174.82","49"
"04 Apr 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30660.00","30972.00","30600.00","30886.00","30625.00","71","7.100 GRMS ","218.82","86"
"03 Apr 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30893.00","30893.00","30552.00","30625.00","30961.00","331","33.100 GRMS ","1017.39","199"
"02 Apr 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30580.00","31080.00","30510.00","30961.00","30426.00","1379","137.900 GRMS ","4225.40","414"
"29 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30482.00","30578.00","30403.00","30426.00","30518.00","3200","320.000 GRMS ","9746.67","1132"
"28 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30732.00","30750.00","30490.00","30518.00","30717.00","8558","855.800 GRMS ","26225.86","2017"
"27 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30871.00","30888.00","30685.00","30717.00","30889.00","9462","946.200 GRMS ","29117.43","4405"
"26 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30840.00","30915.00","30771.00","30889.00","30901.00","7328","732.800 GRMS ","22604.79","5853"
"23 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30550.00","30947.00","30550.00","30901.00","30506.00","13637","1363.700 GRMS ","41984.02","6540"
"22 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30522.00","30615.00","30472.00","30506.00","30464.00","11325","1132.500 GRMS ","34591.79","5421"
"21 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30310.00","30539.00","30284.00","30464.00","30284.00","11318","1131.800 GRMS ","34410.60","5512"
"20 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30393.00","30393.00","30220.00","30284.00","30432.00","9130","913.000 GRMS ","27661.48","5309"
"19 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30222.00","30453.00","30129.00","30432.00","30251.00","11615","1161.500 GRMS ","35188.33","5774"
"16 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30275.00","30364.00","30184.00","30251.00","30314.00","10020","1002.000 GRMS ","30324.58","5908"
"15 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30456.00","30474.00","30288.00","30314.00","30413.00","8326","832.600 GRMS ","25277.89","5905"
"14 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30399.00","30545.00","30364.00","30413.00","30387.00","9560","956.000 GRMS ","29105.44","5861"
"13 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30350.00","30409.00","30222.00","30387.00","30340.00","10980","1098.000 GRMS ","33306.83","5863"
"12 Mar 2018","FUTCOM","GOLDM        ","05APR2018","-","0.00","30380.00","30432.00","30284.00","30340.00","30408.00","7373","737.300 GRMS ","22368.51","5582"
