"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"05 Feb 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","33549.00","33549.00","33250.00","33242.00","33455.00","126","12.600 GRMS ","420.80","292"
"04 Feb 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","34247.00","34400.00","33285.00","33455.00","33405.00","423","42.300 GRMS ","1415.17","478"
"01 Feb 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","33119.00","33500.00","32997.00","33405.00","33100.00","3120","312.000 GRMS ","10348.03","729"
"31 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32937.00","33245.00","32903.00","33100.00","32903.00","10393","1039.300 GRMS ","34377.62","2186"
"30 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32900.00","32975.00","32807.00","32903.00","32891.00","9815","981.500 GRMS ","32290.04","5205"
"29 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32570.00","32967.00","32530.00","32891.00","32536.00","13049","1304.900 GRMS ","42702.46","6305"
"28 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32383.00","32570.00","32383.00","32536.00","32339.00","10896","1089.600 GRMS ","35407.59","6665"
"25 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32057.00","32367.00","32019.00","32339.00","32016.00","13032","1303.200 GRMS ","41947.98","6800"
"24 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32100.00","32147.00","31986.00","32016.00","32135.00","9551","955.100 GRMS ","30607.35","6010"
"23 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32105.00","32199.00","32060.00","32135.00","32154.00","10912","1091.200 GRMS ","35064.30","6922"
"22 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32030.00","32189.00","31949.00","32154.00","32039.00","12040","1204.000 GRMS ","38654.07","7162"
"21 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32052.00","32184.00","31985.00","32039.00","32089.00","8900","890.000 GRMS ","28538.99","6817"
"18 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32295.00","32305.00","32052.00","32089.00","32253.00","12627","1262.700 GRMS ","40601.51","7045"
"17 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32300.00","32363.00","32190.00","32253.00","32272.00","12918","1291.800 GRMS ","41693.15","8740"
"16 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32148.00","32299.00","32103.00","32272.00","32169.00","11364","1136.400 GRMS ","36617.93","9135"
"15 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32066.00","32273.00","32064.00","32169.00","32130.00","12589","1258.900 GRMS ","40498.80","8393"
"14 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32050.00","32194.00","31963.00","32130.00","31924.00","13648","1364.800 GRMS ","43822.60","8147"
"11 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31907.00","32065.00","31888.00","31924.00","31878.00","10561","1056.100 GRMS ","33767.43","6913"
"10 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","32090.00","32119.00","31855.00","31878.00","31993.00","13327","1332.700 GRMS ","42646.49","6954"
"09 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31685.00","32016.00","31639.00","31993.00","31736.00","14632","1463.200 GRMS ","46582.42","7470"
"08 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31616.00","31758.00","31572.00","31736.00","31652.00","10837","1083.700 GRMS ","34307.93","5568"
"07 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31536.00","31748.00","31456.00","31652.00","31466.00","12795","1279.500 GRMS ","40472.09","5070"
"04 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31888.00","31888.00","31444.00","31466.00","31790.00","12759","1275.900 GRMS ","40387.94","5007"
"03 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31660.00","31925.00","31660.00","31790.00","31620.00","12494","1249.400 GRMS ","39742.94","5236"
"02 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31450.00","31696.00","31414.00","31620.00","31428.00","11197","1119.700 GRMS ","35375.45","4630"
"01 Jan 2019","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31422.00","31473.00","31376.00","31428.00","31402.00","2002","200.200 GRMS ","6290.65","4038"
"31 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31560.00","31599.00","31310.00","31402.00","31615.00","9320","932.000 GRMS ","29299.61","3830"
"28 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31665.00","31727.00","31600.00","31615.00","31717.00","4371","437.100 GRMS ","13835.20","3293"
"27 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31566.00","31760.00","31531.00","31717.00","31565.00","3861","386.100 GRMS ","12225.27","3315"
"26 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31498.00","31735.00","31494.00","31565.00","31464.00","4022","402.200 GRMS ","12709.10","2775"
"24 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31355.00","31480.00","31272.00","31464.00","31209.00","3381","338.100 GRMS ","10615.29","2402"
"21 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31216.00","31390.00","31168.00","31209.00","31321.00","3187","318.700 GRMS ","9965.57","2078"
"20 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31150.00","31375.00","31021.00","31321.00","31236.00","3927","392.700 GRMS ","12235.24","1984"
"19 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31121.00","31352.00","31075.00","31236.00","31181.00","2213","221.300 GRMS ","6904.36","2032"
"18 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31551.00","31576.00","31155.00","31181.00","31634.00","3018","301.800 GRMS ","9458.80","2051"
"17 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31501.00","31660.00","31421.00","31634.00","31556.00","1466","146.600 GRMS ","4618.95","2177"
"14 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31575.00","31636.00","31510.00","31556.00","31534.00","1307","130.700 GRMS ","4124.93","2073"
"13 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31656.00","31710.00","31502.00","31534.00","31746.00","2126","212.600 GRMS ","6717.73","2007"
"12 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31818.00","31841.00","31715.00","31746.00","31932.00","1687","168.700 GRMS ","5362.72","2195"
"11 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31956.00","31983.00","31748.00","31932.00","32032.00","2221","222.100 GRMS ","7080.35","2388"
"10 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31584.00","32100.00","31535.00","32032.00","31559.00","3607","360.700 GRMS ","11491.14","2500"
"07 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31056.00","31600.00","31038.00","31559.00","31103.00","2558","255.800 GRMS ","8012.27","1905"
"06 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31199.00","31287.00","31073.00","31103.00","31085.00","2028","202.800 GRMS ","6324.55","1531"
"05 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31000.00","31104.00","30900.00","31085.00","31110.00","1356","135.600 GRMS ","4201.28","1521"
"04 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","30935.00","31142.00","30926.00","31110.00","30898.00","1495","149.500 GRMS ","4639.24","1527"
"03 Dec 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","30350.00","30919.00","30350.00","30898.00","30247.00","2353","235.300 GRMS ","7227.36","1457"
"30 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","30391.00","30445.00","30210.00","30247.00","30410.00","1203","120.300 GRMS ","3645.90","957"
"29 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","30464.00","30543.00","30373.00","30410.00","30646.00","471","47.100 GRMS ","1435.57","537"
"28 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","30583.00","30749.00","30470.00","30646.00","30613.00","430","43.000 GRMS ","1313.63","418"
"27 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","30812.00","30849.00","30574.00","30613.00","30821.00","299","29.900 GRMS ","919.70","327"
"26 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","30688.00","30880.00","30677.00","30821.00","30715.00","323","32.300 GRMS ","995.58","288"
"23 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","30775.00","30775.00","30505.00","30715.00","30833.00","96","9.600 GRMS ","294.81","182"
"22 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31104.00","31104.00","30795.00","30833.00","31081.00","132","13.200 GRMS ","408.70","171"
"21 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31025.00","31154.00","31010.00","31081.00","31107.00","89","8.900 GRMS ","276.46","183"
"20 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31300.00","31300.00","31060.00","31107.00","31153.00","60","6.000 GRMS ","186.83","147"
"19 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31310.00","31310.00","31070.00","31153.00","31257.00","98","9.800 GRMS ","305.52","145"
"16 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31144.00","31373.00","31080.00","31257.00","31110.00","205","20.500 GRMS ","641.08","167"
"15 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31102.00","31153.00","31012.00","31110.00","31031.00","36","3.600 GRMS ","111.97","83"
"14 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","30972.00","31080.00","30895.00","31031.00","31048.00","52","5.200 GRMS ","160.96","78"
"13 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31161.00","31175.00","31031.00","31048.00","31310.00","57","5.700 GRMS ","177.28","65"
"12 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31400.00","31410.00","31270.00","31310.00","31307.00","39","3.900 GRMS ","122.25","50"
"09 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31586.00","31600.00","31253.00","31307.00","31614.00","90","9.000 GRMS ","283.18","43"
"08 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31624.00","31659.00","31511.00","31614.00","31889.00","20","2.000 GRMS ","63.17","12"
"07 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31903.00","31903.00","31845.00","31889.00","31972.00","6","0.600 GRMS ","19.13","10"
"06 Nov 2018","FUTCOM","GOLDM        ","05FEB2019","-","0.00","31945.00","32093.00","31889.00","31972.00","32029.00","19","1.900 GRMS ","60.79","9"
