"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"05 Jun 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","30673.00","30935.00","30656.00","30701.00","30708.00","83","8.300 GRMS ","255.01","242"
"04 Jun 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","30650.00","30812.00","30580.00","30708.00","30568.00","342","34.200 GRMS ","1049.74","424"
"01 Jun 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","30796.00","30839.00","30458.00","30568.00","30882.00","2073","207.300 GRMS ","6371.68","1015"
"31 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31050.00","31120.00","30837.00","30882.00","31030.00","6068","606.800 GRMS ","18807.09","1954"
"30 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31120.00","31123.00","30937.00","31030.00","31184.00","9144","914.400 GRMS ","28361.24","2995"
"29 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31020.00","31320.00","31020.00","31184.00","30971.00","12382","1238.200 GRMS ","38586.26","3533"
"28 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31150.00","31150.00","30885.00","30971.00","31194.00","6809","680.900 GRMS ","21076.99","3936"
"25 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31370.00","31427.00","31172.00","31194.00","31461.00","10052","1005.200 GRMS ","31451.12","4387"
"24 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31241.00","31486.00","31235.00","31461.00","31186.00","11058","1105.800 GRMS ","34686.07","5597"
"23 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31121.00","31369.00","31103.00","31186.00","31111.00","11983","1198.300 GRMS ","37420.50","4926"
"22 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31025.00","31173.00","31005.00","31111.00","31114.00","7328","732.800 GRMS ","22787.91","5277"
"21 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31035.00","31139.00","30925.00","31114.00","31093.00","8026","802.600 GRMS ","24896.45","5623"
"18 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","30971.00","31115.00","30950.00","31093.00","30986.00","7380","738.000 GRMS ","22908.45","5595"
"17 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31001.00","31001.00","30852.00","30986.00","31007.00","8542","854.200 GRMS ","26429.39","6280"
"16 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31171.00","31171.00","30941.00","31007.00","31186.00","10733","1073.300 GRMS ","33310.46","6392"
"15 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31425.00","31499.00","31172.00","31186.00","31496.00","14507","1450.700 GRMS ","45462.36","6586"
"14 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31450.00","31544.00","31380.00","31496.00","31500.00","7901","790.100 GRMS ","24869.74","8283"
"11 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31340.00","31545.00","31340.00","31500.00","31352.00","8838","883.800 GRMS ","27817.63","8444"
"10 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31338.00","31470.00","31231.00","31352.00","31303.00","10726","1072.600 GRMS ","33630.71","7651"
"09 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31219.00","31364.00","31156.00","31303.00","31200.00","9933","993.300 GRMS ","31054.30","7231"
"08 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31220.00","31238.00","31075.00","31200.00","31247.00","8692","869.200 GRMS ","27085.71","6780"
"07 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31125.00","31300.00","31125.00","31247.00","31100.00","6161","616.100 GRMS ","19249.01","7216"
"04 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31002.00","31121.00","30987.00","31100.00","31033.00","6766","676.600 GRMS ","21007.56","7050"
"03 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","30949.00","31125.00","30880.00","31033.00","30923.00","8142","814.200 GRMS ","25254.00","6926"
"02 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","30940.00","31014.00","30901.00","30923.00","30920.00","6700","670.000 GRMS ","20739.78","6826"
"01 May 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","30968.00","30968.00","30850.00","30920.00","31019.00","4655","465.500 GRMS ","14388.05","6816"
"30 Apr 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31160.00","31160.00","30928.00","31019.00","31205.00","8063","806.300 GRMS ","25015.41","6663"
"27 Apr 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31186.00","31257.00","31110.00","31205.00","31242.00","2952","295.200 GRMS ","9207.30","5150"
"26 Apr 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31320.00","31362.00","31177.00","31242.00","31388.00","2565","256.500 GRMS ","8021.69","4755"
"25 Apr 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31370.00","31414.00","31314.00","31388.00","31360.00","1951","195.100 GRMS ","6119.33","4794"
"24 Apr 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31260.00","31390.00","31185.00","31360.00","31277.00","2047","204.700 GRMS ","6402.21","4377"
"23 Apr 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31356.00","31376.00","31207.00","31277.00","31411.00","2093","209.300 GRMS ","6548.91","4107"
"20 Apr 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31450.00","31538.00","31385.00","31411.00","31573.00","1714","171.400 GRMS ","5388.95","4047"
"19 Apr 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31525.00","31630.00","31420.00","31573.00","31511.00","2561","256.100 GRMS ","8072.24","4071"
"18 Apr 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31321.00","31570.00","31286.00","31511.00","31364.00","2434","243.400 GRMS ","7653.94","3901"
"17 Apr 2018","FUTCOM","GOLDM        ","05JUN2018","-","0.00","31260.00","31377.00","31190.00","31364.00","31279.00","2187","218.700 GRMS ","6844.26","3538"
