"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"17 Jan 2020","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4160.00","4197.00","4138.00","4159.00","4165.00","235475","23547.500 BBL  ","980993.79","2962"
"16 Jan 2020","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4119.00","4175.00","4081.00","4165.00","4100.00","295611","29561.100 BBL  ","1220236.58","8278"
"15 Jan 2020","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4126.00","4131.00","4059.00","4100.00","4138.00","299294","29929.400 BBL  ","1227437.85","11920"
"14 Jan 2020","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4111.00","4159.00","4092.00","4138.00","4132.00","325094","32509.400 BBL  ","1342357.83","14365"
"13 Jan 2020","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4203.00","4203.00","4103.00","4132.00","4202.00","325968","32596.800 BBL  ","1355278.86","16582"
"10 Jan 2020","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4240.00","4247.00","4172.00","4202.00","4237.00","355282","35528.200 BBL  ","1496074.26","15742"
"09 Jan 2020","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4250.00","4302.00","4178.00","4237.00","4260.00","437288","43728.800 BBL  ","1856857.75","14559"
"08 Jan 2020","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4519.00","4590.00","4243.00","4260.00","4494.00","612606","61260.600 BBL  ","2717062.77","17698"
"07 Jan 2020","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4511.00","4538.00","4466.00","4494.00","4538.00","344578","34457.800 BBL  ","1552372.01","18345"
"06 Jan 2020","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4525.00","4670.00","4518.00","4538.00","4499.00","413099","41309.900 BBL  ","1896344.01","17952"
"03 Jan 2020","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4360.00","4603.00","4360.00","4499.00","4343.00","514491","51449.100 BBL  ","2333190.22","21300"
"02 Jan 2020","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4376.00","4388.00","4332.00","4343.00","4380.00","329722","32972.200 BBL  ","1437541.21","22302"
"01 Jan 2020","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4374.00","4389.00","4366.00","4380.00","4386.00","21024","2102.400 BBL  ","91996.29","23775"
"31 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4404.00","4427.00","4325.00","4386.00","4401.00","353321","35332.100 BBL  ","1544866.18","24318"
"30 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4433.00","4450.00","4363.00","4401.00","4416.00","266963","26696.300 BBL  ","1177881.17","26659"
"27 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4394.00","4430.00","4379.00","4416.00","4403.00","247432","24743.200 BBL  ","1091177.67","27182"
"26 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4370.00","4414.00","4353.00","4403.00","4356.00","229156","22915.600 BBL  ","1004317.45","29120"
"24 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4326.00","4366.00","4312.00","4356.00","4325.00","173110","17311.000 BBL  ","750792.78","26630"
"23 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4290.00","4332.00","4284.00","4325.00","4294.00","228803","22880.300 BBL  ","985179.47","25243"
"20 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4360.00","4364.00","4276.00","4294.00","4360.00","297797","29779.700 BBL  ","1287611.74","20657"
"19 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4324.00","4372.00","4313.00","4360.00","4344.00","210878","21087.800 BBL  ","915616.95","27807"
"18 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4319.00","4347.00","4290.00","4344.00","4332.00","67640","6764.000 BBL  ","292190.29","23976"
"17 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4271.00","4337.00","4263.00","4332.00","4276.00","25824","2582.400 BBL  ","111067.79","12139"
"16 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4236.00","4282.00","4233.00","4276.00","4244.00","12196","1219.600 BBL  ","52013.91","7207"
"13 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4200.00","4273.00","4194.00","4244.00","4201.00","15936","1593.600 BBL  ","67355.24","4830"
"12 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4166.00","4224.00","4158.00","4201.00","4160.00","10108","1010.800 BBL  ","42346.65","3612"
"11 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4190.00","4195.00","4120.00","4160.00","4198.00","8475","847.500 BBL  ","35290.29","2151"
"10 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4192.00","4217.00","4158.00","4198.00","4200.00","8139","813.900 BBL  ","34068.93","2616"
"09 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4202.00","4212.00","4146.00","4200.00","4211.00","5935","593.500 BBL  ","24833.90","2194"
"06 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4166.00","4268.00","4122.00","4211.00","4167.00","10143","1014.300 BBL  ","42495.13","2007"
"05 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4167.00","4220.00","4145.00","4167.00","4188.00","8175","817.500 BBL  ","34170.62","1695"
"04 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4062.00","4199.00","4050.00","4188.00","4048.00","8563","856.300 BBL  ","35397.19","1798"
"03 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4036.00","4054.00","3985.00","4048.00","4019.00","5872","587.200 BBL  ","23611.28","1309"
"02 Dec 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4039.00","4077.00","4001.00","4019.00","3988.00","5635","563.500 BBL  ","22754.53","1278"
"29 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4170.00","4187.00","3974.00","3988.00","4186.00","7431","743.100 BBL  ","30299.32","1490"
"28 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4135.00","4198.00","4135.00","4186.00","4136.00","2870","287.000 BBL  ","11940.37","1211"
"27 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4168.00","4195.00","4112.00","4136.00","4166.00","4427","442.700 BBL  ","18419.47","1037"
"26 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4159.00","4193.00","4143.00","4166.00","4147.00","4581","458.100 BBL  ","19086.09","1050"
"25 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4185.00","4185.00","4117.00","4147.00","4176.00","4916","491.600 BBL  ","20396.32","1034"
"22 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4179.00","4220.00","4137.00","4176.00","4191.00","5980","598.000 BBL  ","25027.10","1067"
"21 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4095.00","4198.00","4076.00","4191.00","4102.00","5246","524.600 BBL  ","21668.09","1039"
"20 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4005.00","4133.00","3966.00","4102.00","4011.00","6360","636.000 BBL  ","25754.38","740"
"19 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4120.00","4128.00","4003.00","4011.00","4107.00","1347","134.700 BBL  ","5475.86","351"
"18 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4155.00","4185.00","4100.00","4107.00","4165.00","174","17.400 BBL  ","721.73","132"
"15 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4107.00","4170.00","4089.00","4165.00","4137.00","77","7.700 BBL  ","317.45","66"
"14 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4158.00","4178.00","4122.00","4137.00","4155.00","59","5.900 BBL  ","245.69","42"
"13 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4101.00","4170.00","4089.00","4155.00","4117.00","25","2.500 BBL  ","103.14","37"
"12 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4114.00","4120.00","4114.00","4117.00","4091.00","2","0.200 BBL  ","8.23","32"
"11 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4072.00","4110.00","4067.00","4091.00","4053.00","20","2.000 BBL  ","81.80","32"
"08 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4080.00","4098.00","4010.00","4053.00","4069.00","21","2.100 BBL  ","85.05","25"
"07 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4021.00","4112.00","4020.00","4069.00","4073.00","7","0.700 BBL  ","28.48","27"
"06 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4069.00","4115.00","4039.00","4073.00","4033.00","9","0.900 BBL  ","36.66","24"
"05 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4024.00","4076.00","4016.00","4033.00","4057.00","19","1.900 BBL  ","76.61","25"
"04 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","3971.00","4075.00","3971.00","4057.00","3937.00","19","1.900 BBL  ","76.41","12"
"01 Nov 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","3906.00","3966.00","3898.00","3937.00","3886.00","29","2.900 BBL  ","114.05","15"
"31 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","3866.00","3903.00","3866.00","3886.00","3951.00","7","0.700 BBL  ","27.20","12"
"30 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","3977.00","3977.00","3916.00","3951.00","4004.00","5","0.500 BBL  ","19.76","9"
"29 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","4004.00","4004.00","0","0.000 BBL  ","0.00","5"
"28 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","4016.00","4016.00","3984.00","4004.00","4006.00","3","0.300 BBL  ","12.01","5"
"27 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","4006.00","4006.00","0","0.000 BBL  ","0.00","4"
"25 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","3999.00","4015.00","3999.00","4006.00","3983.00","4","0.400 BBL  ","16.02","4"
"24 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","3992.00","3992.00","3967.00","3983.00","3976.00","3","0.300 BBL  ","11.95","4"
"23 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3976.00","3832.00","0","0.000 BBL  ","0.00","3"
"22 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","3835.00","3835.00","3825.00","3832.00","3836.00","3","0.300 BBL  ","11.50","3"
"21 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3836.00","3859.00","0","0.000 BBL  ","0.00","0"
"18 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3859.00","3871.00","0","0.000 BBL  ","0.00","0"
"17 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3871.00","3887.00","0","0.000 BBL  ","0.00","0"
"16 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3887.00","3884.00","0","0.000 BBL  ","0.00","0"
"15 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3884.00","3869.00","0","0.000 BBL  ","0.00","0"
"14 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3869.00","3920.00","0","0.000 BBL  ","0.00","0"
"11 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3920.00","3842.00","0","0.000 BBL  ","0.00","0"
"10 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3842.00","3816.00","0","0.000 BBL  ","0.00","0"
"09 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3816.00","3787.00","0","0.000 BBL  ","0.00","0"
"08 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3787.00","3805.00","0","0.000 BBL  ","0.00","0"
"07 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3805.00","3777.00","0","0.000 BBL  ","0.00","0"
"04 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3777.00","3764.00","0","0.000 BBL  ","0.00","0"
"03 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3764.00","3842.00","0","0.000 BBL  ","0.00","0"
"01 Oct 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3842.00","3910.00","0","0.000 BBL  ","0.00","0"
"30 Sep 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3910.00","3970.00","0","0.000 BBL  ","0.00","0"
"27 Sep 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3970.00","3998.00","0","0.000 BBL  ","0.00","0"
"26 Sep 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","3998.00","4022.00","0","0.000 BBL  ","0.00","0"
"25 Sep 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","4022.00","4098.00","0","0.000 BBL  ","0.00","0"
"24 Sep 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","4098.00","4151.00","0","0.000 BBL  ","0.00","0"
"23 Sep 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","4151.00","4184.00","0","0.000 BBL  ","0.00","0"
"20 Sep 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","4184.00","4176.00","0","0.000 BBL  ","0.00","0"
"19 Sep 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","4176.00","4183.00","0","0.000 BBL  ","0.00","0"
"18 Sep 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","4183.00","4256.00","0","0.000 BBL  ","0.00","0"
"17 Sep 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","4256.00","4501.00","0","0.000 BBL  ","0.00","0"
"16 Sep 2019","FUTCOM","CRUDEOIL     ","17JAN2020","-","0.00","","","","4501.00","3963.00","0","0.000 BBL  ","0.00","0"
