"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"31 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","220.00","220.00","220.00","223.70","217.75","2","10.000 KGS  ","22.00","27"
"30 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","219.65","220.75","217.75","217.75","219.25","154","770.000 KGS  ","1687.50","250"
"29 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","218.95","219.90","218.95","219.25","219.75","4","20.000 KGS  ","43.85","302"
"26 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","216.50","219.85","216.50","219.75","215.50","148","740.000 KGS  ","1612.02","340"
"25 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","215.85","216.65","213.55","215.50","215.90","671","3355.000 KGS  ","7217.50","542"
"24 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","218.15","219.30","215.55","215.90","217.75","5320","26600.000 KGS  ","57962.24","914"
"23 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","220.20","220.20","217.25","217.75","221.45","6914","34570.000 KGS  ","75629.37","1275"
"22 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","220.90","221.85","219.80","221.45","219.50","6544","32720.000 KGS  ","72262.18","1644"
"19 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","217.00","220.10","215.15","219.50","216.45","8834","44170.000 KGS  ","95952.05","1627"
"18 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","219.00","219.45","215.80","216.45","219.35","7558","37790.000 KGS  ","82150.85","1874"
"17 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","217.10","219.55","217.05","219.35","216.80","7854","39270.000 KGS  ","85845.76","1743"
"16 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","219.90","220.05","216.40","216.80","220.55","8166","40830.000 KGS  ","89181.23","1734"
"15 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","216.15","220.95","215.85","220.55","215.10","9019","45095.000 KGS  ","98325.34","1876"
"12 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","218.35","218.35","213.70","215.10","217.80","8261","41305.000 KGS  ","89341.70","1804"
"11 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","214.65","218.35","214.60","217.80","212.25","5286","26430.000 KGS  ","57252.86","1848"
"10 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","214.95","215.60","212.05","212.25","215.65","8812","44060.000 KGS  ","94117.82","1869"
"09 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","218.00","219.40","214.50","215.65","219.35","10548","52740.000 KGS  ","113960.50","2004"
"08 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","218.30","219.55","215.90","219.35","218.10","9220","46100.000 KGS  ","100622.53","1915"
"05 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","214.70","218.75","214.40","218.10","214.90","9972","49860.000 KGS  ","108146.73","1805"
"04 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","218.00","218.45","210.50","214.90","217.30","19004","95020.000 KGS  ","203765.80","1836"
"03 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","221.70","223.60","217.00","217.30","223.70","10169","50845.000 KGS  ","112067.19","2064"
"02 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","220.30","224.70","218.55","223.70","218.80","10544","52720.000 KGS  ","117132.42","2164"
"01 Mar 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","222.20","222.65","218.45","218.80","219.55","7397","36985.000 KGS  ","81364.75","2117"
"26 Feb 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","226.10","226.10","218.15","219.55","225.70","12426","62130.000 KGS  ","138311.15","2115"
"25 Feb 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","228.30","229.15","224.75","225.70","226.10","13086","65430.000 KGS  ","148961.15","2203"
"24 Feb 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","226.00","226.80","222.70","226.10","226.50","12452","62260.000 KGS  ","139770.91","2052"
"23 Feb 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","231.55","233.30","226.10","226.50","230.80","13131","65655.000 KGS  ","150645.32","2215"
"22 Feb 2021","FUTCOM","ZINC         ","31MAR2021","-","0.00","230.60","233.95","228.20","230.80","227.35","12062","60310.000 KGS  ","139438.68","2099"
