"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"30 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","212.00","214.00","210.70","209.50","212.00","69","345.000 KGS  ","732.78","114"
"29 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","211.50","212.00","210.00","212.00","209.60","53","265.000 KGS  ","559.50","189"
"28 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","210.40","212.90","209.10","209.60","208.50","107","535.000 KGS  ","1126.37","309"
"27 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","208.00","209.25","207.65","208.50","208.05","86","430.000 KGS  ","895.46","461"
"26 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","208.05","209.50","207.15","208.05","207.45","638","3190.000 KGS  ","6631.64","662"
"23 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","205.15","209.05","203.50","207.45","205.05","11600","58000.000 KGS  ","119146.62","1064"
"22 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","203.80","205.50","202.30","205.05","205.05","12390","61950.000 KGS  ","126505.49","1585"
"21 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","200.25","205.60","200.25","205.05","200.45","12617","63085.000 KGS  ","128328.00","1782"
"20 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","195.75","201.00","195.40","200.45","196.45","13294","66470.000 KGS  ","131795.95","1927"
"19 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","195.00","197.75","194.95","196.45","193.65","9152","45760.000 KGS  ","89806.56","1781"
"16 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","193.90","194.25","192.50","193.65","194.15","10119","50595.000 KGS  ","97839.78","1609"
"15 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","191.90","194.55","189.60","194.15","191.60","14458","72290.000 KGS  ","138910.26","1650"
"14 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","195.40","196.25","190.15","191.60","194.90","13192","65960.000 KGS  ","127675.44","2309"
"13 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","196.60","197.80","194.70","194.90","198.25","12865","64325.000 KGS  ","126346.96","2214"
"12 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","196.05","198.70","195.95","198.25","195.20","10196","50980.000 KGS  ","100803.63","2208"
"09 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","192.20","196.50","192.20","195.20","191.70","9867","49335.000 KGS  ","96407.96","1772"
"08 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","190.00","192.40","189.60","191.70","190.55","11120","55600.000 KGS  ","106414.95","1796"
"07 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","188.80","193.10","187.55","190.55","189.80","15561","77805.000 KGS  ","148020.20","1685"
"06 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","186.00","190.05","185.70","189.80","186.05","11884","59420.000 KGS  ","111917.64","1728"
"05 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","181.20","186.35","181.20","186.05","183.95","10412","52060.000 KGS  ","96000.77","1744"
"01 Oct 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","191.10","191.75","182.30","183.95","190.80","14083","70415.000 KGS  ","132139.74","1944"
"30 Sep 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","192.25","192.70","190.15","190.80","192.30","10630","53150.000 KGS  ","101772.83","1822"
"29 Sep 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","192.25","193.25","191.50","192.30","192.45","10811","54055.000 KGS  ","104000.42","1910"
"28 Sep 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","188.25","192.70","187.25","192.45","187.70","10986","54930.000 KGS  ","104616.40","1850"
"25 Sep 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","189.50","190.15","187.20","187.70","189.70","8752","43760.000 KGS  ","82548.46","1913"
"24 Sep 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","189.00","190.25","186.30","189.70","189.85","9395","46975.000 KGS  ","88360.70","1727"
"23 Sep 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","190.65","190.85","188.60","189.85","191.40","2918","14590.000 KGS  ","27665.04","1834"
"22 Sep 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","192.20","193.10","190.00","191.40","190.65","1379","6895.000 KGS  ","13221.71","1671"
"21 Sep 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","196.55","196.55","188.50","190.65","196.95","1607","8035.000 KGS  ","15513.20","1454"
"18 Sep 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","195.20","197.20","194.90","196.95","194.30","506","2530.000 KGS  ","4957.56","902"
"17 Sep 2020","FUTCOM","ZINC         ","30OCT2020","-","0.00","193.50","194.65","191.50","194.30","194.80","451","2255.000 KGS  ","4348.51","768"
