"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"31 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","209.70","210.70","203.40","211.95","210.80","378","1890.000 KGS  ","3916.22","55"
"30 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","211.05","212.00","209.90","210.80","210.35","438","2190.000 KGS  ","4622.84","337"
"29 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","209.00","211.90","209.00","210.35","211.30","1526","7630.000 KGS  ","16023.89","428"
"28 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","215.20","215.20","210.10","211.30","214.75","3374","16870.000 KGS  ","36009.40","581"
"27 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","214.60","215.55","213.60","214.75","213.95","5980","29900.000 KGS  ","64173.12","1170"
"24 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","210.55","215.00","210.50","213.95","210.75","17164","85820.000 KGS  ","182802.67","2348"
"23 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","211.60","211.60","208.80","210.75","211.55","14450","72250.000 KGS  ","151723.36","2965"
"22 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","213.75","213.75","211.35","211.55","213.75","14964","74820.000 KGS  ","158948.93","3123"
"21 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","213.00","214.35","212.25","213.75","212.70","16425","82125.000 KGS  ","175400.38","3317"
"20 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","215.00","215.00","211.45","212.70","215.35","11884","59420.000 KGS  ","126236.05","3271"
"17 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","217.00","217.00","215.00","215.35","217.20","15822","79110.000 KGS  ","170590.95","3374"
"16 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","216.30","218.00","216.30","217.20","217.00","16330","81650.000 KGS  ","177291.90","3705"
"15 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","214.45","217.20","213.00","217.00","213.90","17976","89880.000 KGS  ","193797.43","3618"
"14 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","213.10","214.45","212.50","213.90","212.65","17515","87575.000 KGS  ","186837.15","3661"
"13 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","214.65","215.30","212.20","212.65","215.35","17984","89920.000 KGS  ","192167.58","3861"
"10 May 2019","FUTCOM","ZINC         ","31MAY2019","-","0.00","215.10","216.00","213.30","215.35","215.10","19902","99510.000 KGS  ","213855.69","3685"
