"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"31 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","196.55","199.65","196.55","200.10","197.90","42","210.000 KGS  ","413.74","163"
"28 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","198.30","198.90","197.50","197.90","195.35","18","90.000 KGS  ","178.11","355"
"27 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","197.50","198.00","195.10","195.35","196.50","55","275.000 KGS  ","538.11","393"
"26 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","196.00","197.95","194.50","196.50","195.00","98","490.000 KGS  ","960.43","564"
"25 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","192.70","195.55","192.70","195.00","192.55","1459","7295.000 KGS  ","14150.48","699"
"24 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","194.10","195.45","192.00","192.55","193.55","10213","51065.000 KGS  ","99016.65","1103"
"21 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","197.75","199.30","190.75","193.55","197.15","17224","86120.000 KGS  ","169207.62","1751"
"20 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","197.65","198.55","195.25","197.15","197.55","14378","71890.000 KGS  ","141690.01","1889"
"19 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","194.00","198.90","193.60","197.55","193.90","14346","71730.000 KGS  ","141005.87","2026"
"18 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","192.50","195.20","191.90","193.90","192.20","13120","65600.000 KGS  ","127008.88","2263"
"17 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","188.15","192.65","188.15","192.20","187.30","11158","55790.000 KGS  ","106539.09","2478"
"14 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","187.70","189.40","186.95","187.30","187.35","10295","51475.000 KGS  ","96821.39","2188"
"13 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","189.00","189.55","186.00","187.35","189.00","11565","57825.000 KGS  ","108839.74","2223"
"12 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","188.90","190.20","186.65","189.00","190.60","12492","62460.000 KGS  ","117860.17","2280"
"11 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","189.80","191.00","187.80","190.60","189.50","13466","67330.000 KGS  ","127588.45","2395"
"10 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","188.50","190.75","187.65","189.50","189.30","11578","57890.000 KGS  ","109533.47","2221"
"07 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","190.95","191.90","188.80","189.30","191.25","14910","74550.000 KGS  ","141994.28","2308"
"06 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","189.55","192.20","189.55","191.25","189.40","14075","70375.000 KGS  ","134572.63","2239"
"05 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","185.30","191.95","185.30","189.40","185.60","15757","78785.000 KGS  ","148833.15","1853"
"04 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","183.85","186.45","183.60","185.60","184.50","12080","60400.000 KGS  ","111685.62","1861"
"03 Aug 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","183.55","185.80","182.35","184.50","184.00","12109","60545.000 KGS  ","111434.30","1974"
"31 Jul 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","182.25","184.80","182.15","184.00","182.40","11952","59760.000 KGS  ","109795.82","2177"
"30 Jul 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","183.00","183.40","180.40","182.40","182.80","14299","71495.000 KGS  ","130244.03","2031"
"29 Jul 2020","FUTCOM","ZINC         ","31AUG2020","-","0.00","179.10","183.00","178.65","182.80","179.40","12292","61460.000 KGS  ","111133.63","2205"
