"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"30 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","153.60","153.70","151.45","158.60","153.45","40","200.000 KGS  ","305.03","65"
"27 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","154.00","154.35","152.80","153.45","154.10","97","485.000 KGS  ","745.18","102"
"26 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","155.00","156.10","153.45","154.10","155.35","434","2170.000 KGS  ","3362.31","142"
"25 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","154.15","155.75","153.60","155.35","154.00","1134","5670.000 KGS  ","8754.76","160"
"24 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","154.75","155.35","153.65","154.00","155.00","3722","18610.000 KGS  ","28721.28","344"
"23 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","155.35","155.50","154.50","155.00","155.35","5230","26150.000 KGS  ","40522.29","829"
"20 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","155.10","155.85","154.50","155.35","155.30","6193","30965.000 KGS  ","48082.07","1114"
"19 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","154.20","155.60","154.00","155.30","154.20","6944","34720.000 KGS  ","53753.38","1085"
"18 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","153.85","154.55","153.35","154.20","153.85","6464","32320.000 KGS  ","49771.38","1253"
"17 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","155.45","155.45","153.50","153.85","155.40","8991","44955.000 KGS  ","69311.07","1586"
"16 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","155.80","156.85","154.85","155.40","155.95","7899","39495.000 KGS  ","61567.78","1228"
"13 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","154.55","156.50","154.40","155.95","154.45","5844","29220.000 KGS  ","45420.15","1395"
"12 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","154.40","154.95","153.50","154.45","154.25","7528","37640.000 KGS  ","58081.19","1307"
"11 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","155.50","156.20","153.80","154.25","155.75","8165","40825.000 KGS  ","63450.66","1296"
"10 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","156.10","156.60","155.40","155.75","155.90","5964","29820.000 KGS  ","46509.30","1566"
"09 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","155.25","156.05","154.85","155.90","155.40","5541","27705.000 KGS  ","43079.77","1483"
"06 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","155.15","155.90","153.50","155.40","155.20","9136","45680.000 KGS  ","70586.36","1279"
"05 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","155.55","157.20","154.90","155.20","156.00","8050","40250.000 KGS  ","62802.34","1134"
"04 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","154.00","156.80","153.60","156.00","153.70","9215","46075.000 KGS  ","71453.77","1334"
"03 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","153.50","155.00","153.30","153.70","153.75","6873","34365.000 KGS  ","52881.64","1263"
"02 Sep 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","153.90","154.20","153.20","153.75","153.90","2326","11630.000 KGS  ","17880.08","1221"
"30 Aug 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","154.05","154.40","153.30","153.90","153.85","4648","23240.000 KGS  ","35747.52","1172"
"29 Aug 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","153.90","154.60","153.40","153.85","154.05","5390","26950.000 KGS  ","41506.18","1231"
"28 Aug 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","155.50","156.25","153.60","154.05","155.65","6122","30610.000 KGS  ","47400.77","1409"
"27 Aug 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","155.15","155.90","154.85","155.65","155.40","5073","25365.000 KGS  ","39414.06","1442"
"26 Aug 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","153.95","156.40","153.15","155.40","153.85","4688","23440.000 KGS  ","36305.17","1273"
"23 Aug 2019","FUTCOM","LEAD         ","30SEP2019","-","0.00","155.40","155.50","153.20","153.85","155.35","1832","9160.000 KGS  ","14147.31","979"
